[I 2025-03-14 21:41:41,530] Trial 0 finished with value: 360.83441108325496 and parameters: {'lr': 0.0011860196741312102, 'batch_size': 256, 'gamma': 0.9922368160241636, 'eps_init': 0.5912446725823879}. Best is trial 0 with value: 360.83441108325496.
[I 2025-03-14 21:41:59,447] Trial 1 finished with value: 410.5456807282899 and parameters: {'lr': 0.0015071017558479535, 'batch_size': 32, 'gamma': 0.931638478015277, 'eps_init': 0.5329764933787438}. Best is trial 1 with value: 410.5456807282899.
[I 2025-03-14 21:42:17,000] Trial 2 finished with value: 356.9300684328191 and parameters: {'lr': 0.00026462489535015223, 'batch_size': 128, 'gamma': 0.9411381382041233, 'eps_init': 0.5827754670027249}. Best is trial 1 with value: 410.5456807282899.
[I 2025-03-14 21:42:34,346] Trial 3 finished with value: 551.4482641778886 and parameters: {'lr': 0.0007164194519751765, 'batch_size': 256, 'gamma': 0.9175506085634045, 'eps_init': 0.9148268503047803}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:42:51,717] Trial 4 finished with value: 495.1502081170911 and parameters: {'lr': 0.00019740244327240357, 'batch_size': 256, 'gamma': 0.9035889665066335, 'eps_init': 0.6035765130289383}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:43:09,159] Trial 5 finished with value: 469.1220432774862 and parameters: {'lr': 0.0004729803117708044, 'batch_size': 128, 'gamma': 0.9657169541063129, 'eps_init': 0.6948199060175138}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:43:26,584] Trial 6 finished with value: 339.86543036544754 and parameters: {'lr': 0.0001684169255301025, 'batch_size': 256, 'gamma': 0.9587537162724846, 'eps_init': 0.7740970909096541}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:43:44,193] Trial 7 finished with value: 228.2920017671422 and parameters: {'lr': 0.0003341078268398966, 'batch_size': 128, 'gamma': 0.9494193751921516, 'eps_init': 0.6690172338667622}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:44:01,522] Trial 8 finished with value: 469.1220432774862 and parameters: {'lr': 0.007273273177878003, 'batch_size': 64, 'gamma': 0.9651784140474023, 'eps_init': 0.8401898620476291}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:44:18,977] Trial 9 finished with value: 405.87959780359233 and parameters: {'lr': 0.0008748375228873662, 'batch_size': 128, 'gamma': 0.9298889210689506, 'eps_init': 0.9679475040967909}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:44:36,830] Trial 10 finished with value: 449.70232966332696 and parameters: {'lr': 0.00011492619433476875, 'batch_size': 64, 'gamma': 0.9011186481603081, 'eps_init': 0.998494418164841}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:44:54,341] Trial 11 finished with value: 518.2023204402067 and parameters: {'lr': 0.0001317597032216297, 'batch_size': 256, 'gamma': 0.9000688950501482, 'eps_init': 0.8639863590740996}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:45:11,723] Trial 12 finished with value: 274.1548039787449 and parameters: {'lr': 0.0001316239808741414, 'batch_size': 256, 'gamma': 0.9151180012235528, 'eps_init': 0.8842490567778285}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:45:29,202] Trial 13 finished with value: 469.82715974829625 and parameters: {'lr': 0.0004987839897899035, 'batch_size': 256, 'gamma': 0.916552448334525, 'eps_init': 0.8873104837313055}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:45:46,977] Trial 14 finished with value: 480.35163652093615 and parameters: {'lr': 0.00010740022947094547, 'batch_size': 32, 'gamma': 0.9003075684957379, 'eps_init': 0.8023183546397636}. Best is trial 3 with value: 551.4482641778886.
[I 2025-03-14 21:46:05,420] Trial 15 finished with value: 586.6062478133244 and parameters: {'lr': 0.002295611121349138, 'batch_size': 256, 'gamma': 0.9188640775888035, 'eps_init': 0.9234359922387085}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:46:23,249] Trial 16 finished with value: 483.71560396335553 and parameters: {'lr': 0.0022720794383017788, 'batch_size': 256, 'gamma': 0.921486717246934, 'eps_init': 0.9414485322375539}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:46:41,293] Trial 17 finished with value: 233.26560926542152 and parameters: {'lr': 0.0028149773093147446, 'batch_size': 256, 'gamma': 0.9308592138278131, 'eps_init': 0.9305929230142206}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:47:01,009] Trial 18 finished with value: 349.27122319163755 and parameters: {'lr': 0.0007378341886997931, 'batch_size': 64, 'gamma': 0.9146372793101096, 'eps_init': 0.8197136254870261}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:47:22,733] Trial 19 finished with value: 289.92054494819604 and parameters: {'lr': 0.003403151792861929, 'batch_size': 32, 'gamma': 0.9221373436556367, 'eps_init': 0.9200842728236543}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:47:45,700] Trial 20 finished with value: 401.4721817129757 and parameters: {'lr': 0.0017176361087624652, 'batch_size': 256, 'gamma': 0.9401425893526407, 'eps_init': 0.9869857204683862}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:48:07,508] Trial 21 finished with value: 235.12922164812335 and parameters: {'lr': 0.0006604347080148863, 'batch_size': 256, 'gamma': 0.9090015742531257, 'eps_init': 0.8654411391227149}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:48:29,583] Trial 22 finished with value: 400.96067638194654 and parameters: {'lr': 0.00027107891140765644, 'batch_size': 256, 'gamma': 0.9067377646174746, 'eps_init': 0.9005472986749236}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:48:50,793] Trial 23 finished with value: 515.6445366060361 and parameters: {'lr': 0.0010497807308288843, 'batch_size': 256, 'gamma': 0.9102053218513255, 'eps_init': 0.8508862375408035}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:49:09,941] Trial 24 finished with value: 434.5393958813511 and parameters: {'lr': 0.0005867884854995984, 'batch_size': 256, 'gamma': 0.9215746636730154, 'eps_init': 0.935613106068934}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:49:27,662] Trial 25 finished with value: 225.27889880826115 and parameters: {'lr': 0.0003695864692030886, 'batch_size': 256, 'gamma': 0.9090139772589628, 'eps_init': 0.870548807492717}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:49:45,539] Trial 26 finished with value: 339.8454024001403 and parameters: {'lr': 0.00018451932990736836, 'batch_size': 256, 'gamma': 0.9007406470327103, 'eps_init': 0.7947762884588369}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:50:03,515] Trial 27 finished with value: 475.28642041550484 and parameters: {'lr': 0.0008734373409870307, 'batch_size': 64, 'gamma': 0.9127365196903119, 'eps_init': 0.9589016966081645}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:50:22,573] Trial 28 finished with value: 505.21738869682304 and parameters: {'lr': 0.00041906209623689415, 'batch_size': 32, 'gamma': 0.9244246595869849, 'eps_init': 0.901652262301897}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:50:41,294] Trial 29 finished with value: 356.7610098414443 and parameters: {'lr': 0.0006526796903875189, 'batch_size': 256, 'gamma': 0.9056363511276763, 'eps_init': 0.8485124053743172}. Best is trial 15 with value: 586.6062478133244.
[I 2025-03-14 21:51:01,343] Trial 30 finished with value: 537.5221759045962 and parameters: {'lr': 0.0013077833874079261, 'batch_size': 256, 'gamma': 0.9129808085311255, 'eps_init': 0.9587343615138793}. Best is trial 15 with value: 586.6062478133244.
