[I 2025-03-17 09:37:10,652] Trial 0 finished with value: 486.35717166995164 and parameters: {'lr': 0.0001365426964079163, 'batch_size': 64, 'exploration_eps_init': 0.5448178948070572, 'exploration_eps_end': 0.031085939205987935, 'softupdate_eps': 0.9750650066629734, 'gamma': 0.9633730412908919, 'weight_decay': 7.295093635527882e-05}. Best is trial 0 with value: 486.35717166995164.
[I 2025-03-17 09:37:25,710] Trial 1 finished with value: 484.9318127426086 and parameters: {'lr': 0.0029290619105387244, 'batch_size': 256, 'exploration_eps_init': 0.9880495549464846, 'exploration_eps_end': 0.03984163867490268, 'softupdate_eps': 0.9395825890618689, 'gamma': 0.9282172604815123, 'weight_decay': 4.779124125498593e-05}. Best is trial 0 with value: 486.35717166995164.
[I 2025-03-17 09:37:40,963] Trial 2 finished with value: 553.9148657537298 and parameters: {'lr': 0.006520161481165304, 'batch_size': 128, 'exploration_eps_init': 0.5844183099747642, 'exploration_eps_end': 0.07828746919781199, 'softupdate_eps': 0.9465479291375772, 'gamma': 0.9399662784752901, 'weight_decay': 3.334233465837737e-05}. Best is trial 2 with value: 553.9148657537298.
[I 2025-03-17 09:37:56,232] Trial 3 finished with value: 774.3721566421445 and parameters: {'lr': 0.0016321277481627459, 'batch_size': 256, 'exploration_eps_init': 0.9424168534095299, 'exploration_eps_end': 0.07250381582359779, 'softupdate_eps': 0.9577758382829462, 'gamma': 0.9197877705905044, 'weight_decay': 2.9383652181074848e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:38:11,715] Trial 4 finished with value: 493.77916459622793 and parameters: {'lr': 0.0007046998859604472, 'batch_size': 128, 'exploration_eps_init': 0.5081873499411195, 'exploration_eps_end': 0.05911036536187877, 'softupdate_eps': 0.9898483816381048, 'gamma': 0.9831553796652241, 'weight_decay': 1.2317753789589201e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:38:27,400] Trial 5 finished with value: 367.7593382515479 and parameters: {'lr': 0.008851773010821188, 'batch_size': 128, 'exploration_eps_init': 0.5721899478511286, 'exploration_eps_end': 0.048693126894892746, 'softupdate_eps': 0.9807860914233116, 'gamma': 0.9776797079048148, 'weight_decay': 1.899427311351283e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:38:45,142] Trial 6 finished with value: 471.13623844773974 and parameters: {'lr': 0.0004073911882722206, 'batch_size': 128, 'exploration_eps_init': 0.901162507289244, 'exploration_eps_end': 0.09103841252464469, 'softupdate_eps': 0.9659041234573212, 'gamma': 0.9215771005081149, 'weight_decay': 4.469025720945122e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:39:04,250] Trial 7 finished with value: 439.5173373587895 and parameters: {'lr': 0.0007741605572789167, 'batch_size': 64, 'exploration_eps_init': 0.9568490744063567, 'exploration_eps_end': 0.06928941905092635, 'softupdate_eps': 0.9803874775416299, 'gamma': 0.947108633286494, 'weight_decay': 1.0279834290130938e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:39:23,216] Trial 8 finished with value: 476.6025810207939 and parameters: {'lr': 0.00014052868233616902, 'batch_size': 256, 'exploration_eps_init': 0.9000558345925542, 'exploration_eps_end': 0.02746687875004311, 'softupdate_eps': 0.9278967857383377, 'gamma': 0.9521137502397428, 'weight_decay': 9.712786581336685e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:39:41,735] Trial 9 finished with value: 281.76501424217713 and parameters: {'lr': 0.0006063916475132, 'batch_size': 64, 'exploration_eps_init': 0.8594536460682439, 'exploration_eps_end': 0.07804972801250878, 'softupdate_eps': 0.9079964690652891, 'gamma': 0.9481119153162615, 'weight_decay': 4.657044176645561e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:40:00,180] Trial 10 finished with value: 469.1220432774862 and parameters: {'lr': 0.0020237964675381076, 'batch_size': 32, 'exploration_eps_init': 0.7543236560205918, 'exploration_eps_end': 0.0988835045088479, 'softupdate_eps': 0.9583493041501461, 'gamma': 0.9006994725799023, 'weight_decay': 4.482177442956835e-06}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:40:16,145] Trial 11 finished with value: 423.9331653918489 and parameters: {'lr': 0.008088531139595843, 'batch_size': 256, 'exploration_eps_init': 0.6672103690778773, 'exploration_eps_end': 0.07514003331589568, 'softupdate_eps': 0.9523032471622399, 'gamma': 0.9280770327763062, 'weight_decay': 2.7870470891676535e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:40:32,482] Trial 12 finished with value: 418.24814639591204 and parameters: {'lr': 0.003215512872657809, 'batch_size': 32, 'exploration_eps_init': 0.7807446977829416, 'exploration_eps_end': 0.0596740975397035, 'softupdate_eps': 0.9431579465468009, 'gamma': 0.9317662609183046, 'weight_decay': 3.2982833596421223e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:40:48,883] Trial 13 finished with value: 626.0644177175272 and parameters: {'lr': 0.0014086937806770704, 'batch_size': 256, 'exploration_eps_init': 0.6736014789089237, 'exploration_eps_end': 0.08412072766765522, 'softupdate_eps': 0.9638368326520216, 'gamma': 0.9116361424136281, 'weight_decay': 2.9332658812577266e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:41:04,516] Trial 14 finished with value: 518.0198590675136 and parameters: {'lr': 0.0014552909559372247, 'batch_size': 256, 'exploration_eps_init': 0.697300363106952, 'exploration_eps_end': 0.08973670203706996, 'softupdate_eps': 0.9634925936830262, 'gamma': 0.91131768391376, 'weight_decay': 2.276990843286857e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:41:20,107] Trial 15 finished with value: 645.80229565216 and parameters: {'lr': 0.0014616483909192144, 'batch_size': 256, 'exploration_eps_init': 0.8179456059582666, 'exploration_eps_end': 0.01626164026695865, 'softupdate_eps': 0.9672991843802418, 'gamma': 0.9140467681711824, 'weight_decay': 1.2480625185701537e-06}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:41:35,742] Trial 16 finished with value: 519.0998284467496 and parameters: {'lr': 0.003923348506654545, 'batch_size': 256, 'exploration_eps_init': 0.8275116017652387, 'exploration_eps_end': 0.011544673205817271, 'softupdate_eps': 0.9711830482460515, 'gamma': 0.9005459011482164, 'weight_decay': 2.571354415994713e-06}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:41:53,026] Trial 17 finished with value: 502.0781235274626 and parameters: {'lr': 0.0011154695772763413, 'batch_size': 256, 'exploration_eps_init': 0.9965895049719091, 'exploration_eps_end': 0.013234901161829328, 'softupdate_eps': 0.9555996146005028, 'gamma': 0.9167687219310116, 'weight_decay': 1.1073696159077535e-06}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:42:08,664] Trial 18 finished with value: 647.0265537943924 and parameters: {'lr': 0.0019679420113035305, 'batch_size': 256, 'exploration_eps_init': 0.8104041872018809, 'exploration_eps_end': 0.050141119348820554, 'softupdate_eps': 0.9710154775543987, 'gamma': 0.9364627862606707, 'weight_decay': 1.6244334716584428e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:42:25,242] Trial 19 finished with value: 469.1220432774862 and parameters: {'lr': 0.0021618389344654006, 'batch_size': 32, 'exploration_eps_init': 0.9191210078137582, 'exploration_eps_end': 0.06482048247016078, 'softupdate_eps': 0.9882229418695673, 'gamma': 0.9349207826475628, 'weight_decay': 1.83517298357057e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:42:40,828] Trial 20 finished with value: 666.8066579183796 and parameters: {'lr': 0.004804947918657864, 'batch_size': 256, 'exploration_eps_init': 0.8690718019999477, 'exploration_eps_end': 0.052416562448161154, 'softupdate_eps': 0.9731716225536076, 'gamma': 0.9387305740909941, 'weight_decay': 3.7662393783840096e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:42:57,497] Trial 21 finished with value: 507.44972370914184 and parameters: {'lr': 0.004903656584796426, 'batch_size': 256, 'exploration_eps_init': 0.8525646542931755, 'exploration_eps_end': 0.05099414623164407, 'softupdate_eps': 0.9763038791849473, 'gamma': 0.938361419349329, 'weight_decay': 3.6097505143559486e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:43:13,885] Trial 22 finished with value: 619.7572219516151 and parameters: {'lr': 0.004473431305314625, 'batch_size': 256, 'exploration_eps_init': 0.9371333732976719, 'exploration_eps_end': 0.04800178904666959, 'softupdate_eps': 0.9708978210658193, 'gamma': 0.9225607538335359, 'weight_decay': 3.989042888786663e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:43:29,840] Trial 23 finished with value: 609.4159805916715 and parameters: {'lr': 0.0024336312471691696, 'batch_size': 256, 'exploration_eps_init': 0.879337028938711, 'exploration_eps_end': 0.0559170273628032, 'softupdate_eps': 0.9547697811252006, 'gamma': 0.9407271865541166, 'weight_decay': 2.3033989404614127e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:43:45,896] Trial 24 finished with value: 645.2663576417835 and parameters: {'lr': 0.005381645967548655, 'batch_size': 256, 'exploration_eps_init': 0.8087367661117266, 'exploration_eps_end': 0.06497147971966008, 'softupdate_eps': 0.9813166107266955, 'gamma': 0.9273903758859829, 'weight_decay': 5.7944541014422816e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:44:01,093] Trial 25 finished with value: 646.4938416561345 and parameters: {'lr': 0.003388492461535356, 'batch_size': 256, 'exploration_eps_init': 0.8681994599573416, 'exploration_eps_end': 0.04478148993058775, 'softupdate_eps': 0.9618622864681456, 'gamma': 0.9530563166363486, 'weight_decay': 1.405366229644249e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:44:16,150] Trial 26 finished with value: 546.7457467843778 and parameters: {'lr': 0.0021181450210738754, 'batch_size': 256, 'exploration_eps_init': 0.9495881734504877, 'exploration_eps_end': 0.05556196439211535, 'softupdate_eps': 0.9707041535405156, 'gamma': 0.9335710710716169, 'weight_decay': 2.777462335332261e-05}. Best is trial 3 with value: 774.3721566421445.
[I 2025-03-17 09:44:31,053] Trial 27 finished with value: 469.90934989170637 and parameters: {'lr': 0.006030672544173558, 'batch_size': 64, 'exploration_eps_init': 0.9118409900874479, 'exploration_eps_end': 0.07020688682557812, 'softupdate_eps': 0.958808326373126, 'gamma': 0.9403183373975427, 'weight_decay': 5.52281328114174e-05}. Best is trial 3 with value: 774.3721566421445.
